vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,3,4,3,7,5,6
0,gpt-4o,9,8,9,10,9,8
0,google/gemini-3-flash-preview,10,8,10,10,9,9
0,x-ai/grok-4.1-fast,10,7,8,10,9,9
0,anthropic/claude-sonnet-4.5,4,5,6,8,5,6
1,gpt-5,8,4,6,6,6,6
1,gpt-4o,9,8,7,6,8,8
1,google/gemini-3-flash-preview,10,10,10,8,9,9
1,x-ai/grok-4.1-fast,10,7,10,8,9,9
1,anthropic/claude-sonnet-4.5,9,7,9,8,8,7
2,gpt-5,6,5,4,5,4,6
2,gpt-4o,8,7,6,5,7,8
2,google/gemini-3-flash-preview,9,7,7,7,8,8
2,x-ai/grok-4.1-fast,9,8,6,9,7,8
2,anthropic/claude-sonnet-4.5,7,6,5,4,6,6
