vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,8,5,6,8,6,7
0,gpt-4o,9,8,7,9,8,8
0,google/gemini-3-flash-preview,9,8,10,10,10,9
0,x-ai/grok-4.1-fast,10,9,10,10,10,9
0,anthropic/claude-sonnet-4.5,2,8,7,9,8,7
1,gpt-5,3,6,6,8,6,6
1,gpt-4o,9,7,8,9,8,8
1,google/gemini-3-flash-preview,9,10,10,10,9,9
1,x-ai/grok-4.1-fast,8,6,10,10,9,9
1,anthropic/claude-sonnet-4.5,1,2,4,8,7,6
2,gpt-5,4,5,4,8,6,6
2,gpt-4o,9,8,7,9,8,8
2,google/gemini-3-flash-preview,9,9,10,10,10,9
2,x-ai/grok-4.1-fast,3,5,6,10,9,9
2,anthropic/claude-sonnet-4.5,1,7,3,8,7,6
