vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,4,4,5,7,5,6
0,gpt-4o,9,8,7,9,8,8
0,google/gemini-3-flash-preview,9,10,10,10,10,9
0,x-ai/grok-4.1-fast,9,10,10,10,9,8
0,anthropic/claude-sonnet-4.5,3,8,2,9,9,8
1,gpt-5,5,5,6,7,6,6
1,gpt-4o,9,8,7,6,8,8
1,google/gemini-3-flash-preview,9,10,10,9,9,9
1,x-ai/grok-4.1-fast,10,6,5,8,9,9
1,anthropic/claude-sonnet-4.5,3,7,4,8,7,7
2,gpt-5,6,5,6,8,6,6
2,gpt-4o,9,7,8,9,8,8
2,google/gemini-3-flash-preview,5,7,10,10,10,9
2,x-ai/grok-4.1-fast,7,6,9,10,9,8
2,anthropic/claude-sonnet-4.5,2,7,6,8,7,7
