vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,4,5,7,5,5,6
0,gpt-4o,9,7,6,5,6,7
0,google/gemini-3-flash-preview,9,10,10,7,7,9
0,x-ai/grok-4.1-fast,10,8,9,10,9,9
0,anthropic/claude-sonnet-4.5,1,6,4,3,4,5
1,gpt-5,6,7,6,7,7,6
1,gpt-4o,9,8,7,8,7,6
1,google/gemini-3-flash-preview,5,10,9,10,9,9
1,x-ai/grok-4.1-fast,10,8,9,10,9,8
1,anthropic/claude-sonnet-4.5,1,7,5,8,7,6
2,gpt-5,3,5,6,6,6,5
2,gpt-4o,9,8,6,7,8,7
2,google/gemini-3-flash-preview,7,9,3,8,9,7
2,x-ai/grok-4.1-fast,1,7,9,10,8,8
2,anthropic/claude-sonnet-4.5,2,6,4,5,6,5
