FID,id,kenn,name,geom,start_measure,end_measure,value,unit,validated,nuclide,duration
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55c2,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T10:00:00,2026-01-22T11:00:00,0.176,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55c8,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T11:00:00,2026-01-22T12:00:00,0.177,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55ca,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T12:00:00,2026-01-22T13:00:00,0.177,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55cc,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T13:00:00,2026-01-22T14:00:00,0.175,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55ce,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T14:00:00,2026-01-22T15:00:00,0.174,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55d1,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T15:00:00,2026-01-22T16:00:00,0.178,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55d3,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T16:00:00,2026-01-22T17:00:00,0.18,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55d4,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T17:00:00,2026-01-22T18:00:00,0.176,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55d6,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T18:00:00,2026-01-22T19:00:00,0.176,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093c53ef_55d8,DEZ3023,094721392,Kornbach,POINT (50.1 11.8),2026-01-22T19:00:00,2026-01-22T20:00:00,0.175,µSv/h,1,Gamma-ODL-Brutto,1h
