vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,openai/gpt-5,6,3,3,7,5,6
0,openai/gpt-4o,9,8,8,9,8,9
0,google/gemini-3-flash-preview,10,8,10,10,9,9
0,x-ai/grok-4.1-fast,10,9,8,10,8,9
0,anthropic/claude-sonnet-4.5,7,6,5,8,7,7
1,openai/gpt-5,5,4,5,7,6,6
1,openai/gpt-4o,9,8,7,8,9,8
1,google/gemini-3-flash-preview,10,10,10,10,9,9
1,x-ai/grok-4.1-fast,10,9,10,10,9,9
1,anthropic/claude-sonnet-4.5,8,9,9,8,9,7
2,openai/gpt-5,8,7,7,8,6,6
2,openai/gpt-4o,9,8,9,8,9,9
2,google/gemini-3-flash-preview,10,10,10,9,9,7
2,x-ai/grok-4.1-fast,10,9,10,8,10,8
2,anthropic/claude-sonnet-4.5,9,9,10,10,8,7
