vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,5,5,5,8,6,5
0,gpt-4o,8,7,8,9,7,6
0,google/gemini-3-flash-preview,4,8,5,9,8,4
0,x-ai/grok-4.1-fast,1,7,9,10,8,6
0,anthropic/claude-sonnet-4.5,3,6,2,8,7,6
1,gpt-5,6,8,7,8,7,7
1,gpt-4o,9,8,9,9,9,8
1,google/gemini-3-flash-preview,3,10,5,10,9,9
1,x-ai/grok-4.1-fast,1,10,10,10,9,9
1,anthropic/claude-sonnet-4.5,1,8,7,9,8,7
2,gpt-5,6,5,6,7,6,7
2,gpt-4o,9,7,8,9,8,9
2,google/gemini-3-flash-preview,10,7,10,9,6,9
2,x-ai/grok-4.1-fast,9,7,10,10,9,9
2,anthropic/claude-sonnet-4.5,1,6,2,8,7,7
