Hauptprobenummer,Bezeichnung,Probe_Entnahmeart,Probenahme_Beginn_Datum,Probenahme_Beginn_Zeit,Probenahme_Ende_Datum,Probenahme_Ende_Zeit,Umweltbereich,Messprogrammgruppe,Entnahmestelle,Herkunftsstaat,Methode,Pruefmerkmal,Ergebnis,Einheit
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EG) 152/2009, Anh. III, A",Wasser,"9,2",g/100 g
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"Mikroskopie, IAG",botanische Reinheit,0,%
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Verbotene Stoffe 767/2009,Verpackungsreste,0,%
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,HPLC-MS/MS,Tallowamine,"<0,01",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","2,3,7,8-TCDF","0,07",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","2,3,7,8-TCDD","<0,03",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","1,2,3,7,8-PeCDF","0,02",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","2,3,4,7,8-PeCDF","0,08",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","1,2,3,7,8-PeCDD","<0,02",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","1,2,3,4,7,8-HxCDF","0,06",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","1,2,3,6,7,8-HxCDF","0,07",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","2,3,4,6,7,8-HxCDF","0,08",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","1,2,3,7,8,9-HxCDF","0,04",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","1,2,3,4,7,8-HxCDD","0,10",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","1,2,3,6,7,8-HxCDD","0,21",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS","1,2,3,7,8,9-HxCDD","0,05",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",1234678-HpCDF,"0,15",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",1234789-HpCDF,"0,15",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",1234678-HpCDD,"0,34",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",OCDF,"0,23",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",OCDD,"0,81",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCDD/F-TEQ (WHO 2005),"0,15",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 81,"0,09",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 77,"2,81",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 126,"0,36",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 169,"<0,03",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 105,"5,32",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 114,"0,21",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 118,"17,51",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 123,"0,19",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 156,"2,89",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 157,"0,30",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 167,"1,72",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB 189,"0,19",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCB-TEQ (WHO 2005),"0,04",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,"VO (EU) Nr. 278/2012, HRGC-MS",PCDD/F-PCB-TEQ ( WHO 2005),"0,19",ng/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,Aldrin,"<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,Dieldrin,"<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,Endrin,"<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,"Chlordan, alpha(cis)","<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,Heptachlor,"<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,"Lindan, HCH, gamma","<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,Hexachlorbenzol,"<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,PCB 28,"<0,5",µg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,PCB 52,"<0,5",µg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,PCB 101,"<0,5",µg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,PCB 138,"<0,5",µg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,PCB 153,"<0,5",µg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,PCB 180,"<0,5",µg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,"PCB-Summe (ICES-6) aus PCB 28, 52, 101, 138, 153 und 180 upper bound",<3,µg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,"HCH, alpha","<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,"HCH, beta-","<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,Endosulfan Summe,"<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA 16.8.1,"DDT, Summe","<0,002",mg/kg
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA Mibi,"KG 1, Aerobe mesophile Bakterien, produkttypisch",4000000,KbE/g
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA Mibi,"KG 2, Aerobe mesophile Bakterien, verderbanzeigend",<10000,KbE/g
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA Mibi,"KG 3, Aerobe mesophile Bakterien, verderbanzeigend",<10000,KbE/g
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA Mibi,"KG 4, Schimmel- und Schw‰rzepilze, produkttypisch",5000,KbE/g
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA Mibi,"KG 5, Schimmel- und Schw‰rzepilze, verderbanzeigend",35000,KbE/g
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA Mibi,"KG 6, Schimmel- und Schw‰rzepilze, verderbanzeigend",<100,KbE/g
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA Mibi,"KG 7, Hefen, verderbanzeigend",270000,KbE/g
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,VDLUFA Mibi,"Mikrobiologie Verderb, Qualit‰tsstufe",2,
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),C‰sium-134 Cs-134,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),C‰sium-137 Cs-137,"7,17E+00",Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Iod-131 I-131,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Kalium-40 K-40,"3,17E+02",Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Beryllium-7 Be-7,"1,60E+01",Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Cobalt-60 Co-60,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Radium-226 Ra-226,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Radium-228 Ra-228,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Thorium-228 Th-228,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Uran-235 U-235,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Uran-238 U-238,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Natrium-22 Na-22,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Chrom-51 Cr-51,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Mangan-54 Mn-54,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Cobalt-57 Co-57,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Cobalt-58 Co-58,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Eisen-59 Fe-59,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Zink-65 Zn-65,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Selen-75 Se-75,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Strontium-85 Sr-85,n.n.,Bq/kg(TM)
201600429,Feinstes Wiesenstreu,Einzelprobe,22.11.2016,12:00,22.11.2016,12:00,Heu,IMIS Routinemessprogramm,Groﬂ-/Einzelhandel (Inland),Deutschland,Gammaspektrometrie (fest - TM),Yttrium-88 Y-88,n.n.,Bq/kg(TM)
