Zeitreihe für Ulsnis
""
Geborenen- (+) bzw. Gestorbenenüberschuss (-) in Ulsnis
""
"";Geborenen- (+) bzw. Gestorbenenüberschuss (-)
Zeit;Anzahl;je 1 000 Einw. 2)
2000;-9 ;-13,9 
2001;- ;- 
2002;-7 ;-11,1 
2003;-6 ;-9,5 
2004;-5 ;-7,7 
2005;-3 ;-4,4 
2006;-4 ;-5,7 
2007;-11 ;-16,2 
2008;-3 ;-4,4 
2009;-5 ;-7,4 
2010;-9 ;-13,6 
2011;-4 ;-5,8 
2012;-2 ;-2,9 
2013;-8 ;-11,9 
2014;-9 ;-13,4 
2015;-5 ;-7,5 
2016;-6 ;-9,1 
2017;-7 ;-10,5 
2018;-15 ;-22,8 
2019;-9 ;-13,4 
2020;-7 ;-10,5 
2021;-3 ;-4,5 
2022;-1 ;... 1) 
2023;-7 ;... 1) 
2024;-14 ;... 1) 
"";""
Anmerkungen zu den Daten
1);Angabe fällt später an.
2);Ermittlung der Bevölkerungszahl (Stichtag am 31.12.) auf Basis der Bevölkerungsfortschreibung
""
Informationen zum Geborenen- (+) bzw. Gestorbenenüberschuss (-)
Der Geborenen- (+) bzw. Gestorbenenüberschuss (-) berechnet sich aus der Anzahl der Lebendgeborenen abzüglich der Anzahl der Gestorbenen.Lebendgeborene sind Kinder, bei denen nach der Scheidung vom Mutterleib entweder das Herz geschlagen oder die Nabelschnur pulsiert oder die natürliche Lungenatmung eingesetzt hat.Als Sterbefälle werden die im Berichtszeitraum Gestorbenen ausgewiesen, ohne Totgeborene, nachträglich beurkundete Kriegssterbefälle und ohne gerichtliche Todeserklärungen.
Aktueller Stand dieser Statistik:  2024.
""
© Statistisches Amt für Hamburg und Schleswig-Holstein 2026
