Zeitreihe für Friedrichsgraben
""
Betriebe im Bauhauptgewerbe nach WZ-2-Stellern im Juni in Friedrichsgraben
""
"";Hochbau;;Tiefbau;;Vorbereitende Baustellenarbeiten und sonstige spezialisierte Bautätigkeiten;;Betriebe insgesamt
Zeit;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%
30.06.2009;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2010;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2011;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2012;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2013;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2014;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2015;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2016;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2017;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2018;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2019;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2020;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2021;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2022;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2023;- ;- ;- ;- ;- ;- ;- ;- 
30.06.2024;- ;- ;- ;- ;- ;- ;- ;- 
""
Informationen zur Ergänzungserhebung im Bauhauptgewerbe
Die Abgrenzung und Gliederung des Baugewerbes erfolgt nach der Klassifikation der Wirtschaftszweige, Ausgabe 2008 (WZ 2008). Erfasst und nachgewiesen werden in der jährlichen Ergänzungserhebung zum Bauhauptgewerbe örtliche Einheiten (in der Regel nicht Baustellen) mit wirtschaftlichem Schwerpunkt in folgenden Bereichen:WZ 41.2: Bau von Gebäuden  WZ 42.1: Bau von Straßen und Bahnverkehrsstrecken  WZ 42.2: Leitungstiefbau und Kläranlagenbau  WZ 42.9: Sonstiger Tiefbau  WZ 43.1: Abbrucharbeiten und vorbereitende Baustellenarbeiten  WZ 43.9: Sonstige spezialisierte Bautätigkeiten (z.B. Dachdeckerei, Zimmerei, Gerüstbau)Die Ergänzungserhebung umfasst alle schleswig-holsteinischen Baubetriebe von Unternehmen des Produzierenden Gewerbes und anderer Wirtschaftsbereiche sowie Arbeitsgemeinschaften, soweit sich deren Tätigkeit auf inländische Baustellen bezieht. Die Regionalisierung der erfassten Merkmale erfolgt nach dem Sitz der Betriebe.Tätige Personen:Tätige Inhaber:innen und tätige Mitinhaber:innen (eingeschlossen sind unbezahlt mithelfende Familienangehörige) sowie alle in einem arbeitsrechtlichen Verhältnis zum Betrieb stehenden Personen soweit sie nicht überwiegend in anderen Bereichen des Betriebes wie Handel oder Dienstleistung beschäftigt sind.Zu den Angestellten rechnen auch Gesellschafter:innen, Vorstandsmitglieder:innen, Geschäftsführer:innen und andere leitende Kräfte eines Unternehmens (GmbH und sonstige Rechtsformen), nicht jedoch die angestelltenversicherungspflichtigen Polier:innen, Schachtmeister:innen und Meister:innen.Umsatz (ohne Umsatzsteuer):Die dem Finanzamt für die Umsatzsteuer zu meldenden steuerbaren (steuerpflichtigen und steuerfreien) Beträge für die im Bundesgebiet getätigten Leistungen, einschließlich Umsatz aus Nachunternehmertätigkeit und der Vergabe von Teilleistungen an Nachunternehmer. Hierzu zählen auch Anzahlungen für Teilleistungen oder Vorauszahlungen vor Ausführung der entsprechenden Lieferungen oder Leistungen, die gem. § 13 UStG zu versteuern sind.Neben dem baugewerblichen Umsatz (Umsatz aus Bauleistungen) enthält der Gesamtumsatz sonstige Umsätze, die in der eigenen Bauleistung nicht abgerechnet wurden. Hierbei handelt es sich vorwiegend um Umsätze aus Handelsware, Umsätze aus sonstigen eigenen Erzeugnissen (Baustoffen, Betonwaren u. Ä.), Umsätze aus Lohnarbeiten für Dritte, Dienstleistungen, Vermietung und Verpachtung.Der Vorjahresumsatz bezieht sich auf die im Erhebungsjahr auskunftspflichtigen Berichtskreise und ist wegen der zwischenzeitlichen Fluktuation nur bedingt als Vorjahresumsatz des gesamten Bauhauptgewerbes anzusehen.
Aktueller Stand dieser Statistik:  30.06.2024.
""
© Statistisches Amt für Hamburg und Schleswig-Holstein 2026
