Objektnummer,Kulturdenkmaltyp,Kreis,Gemeinde,Adresse_Lage,Bezeichnung,Beschreibung,Begr_ndung,Schutzumfang,FotoURL
42758,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt","Am Bondenholz 26, 26-30, 30",Obsthof Mehrens,"Obsthof Mehrens; 1907; Fabrikation Nordischer Blockhäuser W. Witte; zweigeschossiges Fertig-Holzhaus aus Harzer Fichte auf gemauertem Sockel unter auskragendem Satteldach im Chaletstil; ehemaliges Gärtnerhaus am Seeufer, eingeschossiges Blockhaus auf hohem gemauertem Sockel unter Dach in originaler Biberschwanzdeckung; alter Obstwiesenbestand","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Obsthof-Hauptgebäude (Am Bondenholz 26), ehem. Gärtnerhaus (Am Bondenholz 30), Apfelwiese (Am Bondenholz 26-30)",
40602,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt","Bahnhofstraße 33, 35",Kath. Kirche St. Maria - St. Vicelin,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Städtebaulich","Kath. Kirche St. Maria - St. Vicelin (Bahnhofstraße 33), Pfarrhaus (Bahnhofstraße 35)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/40602.jpg
40534,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt","Bahnhofstraße 40, 42",Tuchfabrik Heinrich Wittorf,"Tuchfabrik Heinrich Wittorf; 1890-1897; dreigeschossiges Fabrikantenwohnhaus mit prachtvoller Putzzierfassade über Tordurchfahrt an zweigeschossiges Wohnhaus (ehem. Kontor) unter Satteldach mit schlichter Putzfassade angeschlossen. Im Hof Fabrikgebäude (ehem. Baumwollspinnerei), dreigeschossiger Backsteinbau unter flachem Satteldach","Geschichtlich, Städtebaulich","Wohnhaus (Bahnhofstraße 40); Wohnhaus (ehem. Kontor), ehem. Fabrikgebäude (Bahnhofstraße 42)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/40534.jpg
15317,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt","Boostedter Straße 30, 32, Holsatenring 6-8, 10-12, 14",Justizvollzugsanstalt,"Justizvollzugsanstalt; 1902-1905; Radloff und Saal; Gefängniskomplex in neogotischer Backsteinoptik bestehend aus dreiflügeligem Pfortengebäude, einem zentralen, kreuzförmigen, viergeschossigen Haupthafthaus, flankiert von zwei winklig angelegten, zwei- bis dreigeschossigen Werkstatt- und Arbeitsgebäuden, westlich davon t-förmig angelegter viergeschossiger Bau des ehem. ?Weibergefängnis?, dieser innere Bereich im Norden, Westen und Süden von Gefängnismauer eingefasst, davor westlich ehem. Direktorenhaus; 1903/04; eingeschossiger Bau unter schiefergedecktem ausgebautem Walmdach; südlich entlang des Holsatenringes drei ehem. Wohnhäuser für Gefängniswärter und ?inspektoren; zweigeschossige Backsteinbauten unter ausgebauten Walmdächern","Geschichtlich, Städtebaulich","Pfortengebäude, Hafthaus A (ehem. Weibergefängnis), Hafthaus C (Vierstrahler), Gefängnismauer, südöstlicher Eckbau des Werkstattgebäudes, Werkstattgebäude, Bäckerei, Restaurant- und Arbeitsgebäude (Boostedter Straße 30); Dienstgebäude (ehem. Direktorenhaus) mit Einfriedung (Boostedter Straße 32); ehem. Wohnhaus für Gefängnis-Aufsichtspersonal (Holsatenring 6-8), ehem. Wohnhaus für Gefängnis-Aufsichtspersonal (Holsatenring 10-12), ehem. Inspektoren-Wohnhaus des Gefängnisses (Holsatenring 14)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15317.jpg
15133,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt",Brückenstraße,Bahnbetriebswerkstätte Neumünster,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich, Wissenschaftlich","Werkstatt- und Verwaltungsgebäude, Lokleitungsgebäude, Ringlokschuppen, Bahnschuppen, Brückendrehscheibe, Kohlenbansen, Gleisanlagen mit Betriebstechnik",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15133.jpg
22591,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt","Buddestraße 7, 9, 11, 13, 15, 17-19, Buddestraße",Eisenbahnersiedlung Neumünster,"Eisenbahnersiedlung Neumünster; um 1907, Eisenbahnbauverein; Siedlung nach Kriegsschäden stark dezimiert, erhaltene Gruppe von einfachen zweigeschossigen Wohnhäusern mit Kurzwalmdächern, zeittypische Backstein- und Putzgliederung, teilweise hell überschlämmt; historisches Diagonalpflaster auf der Fahrbahn und Kleinmosaikpflaster auf dem Gehweg","Geschichtlich, Städtebaulich","Wohnhäuser Buddestraße 7, 9, 11, 13, 15, 17-19; Straßenpflasterung Buddestraße",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/22591.jpg
45645,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt",Carlstraße 66,Villa Moll mit Garten,"Landhaus und umgebender Garten; ab 1908, Architekt Hans Roß, Bauherr Alexander Moll; zweigeschossiger traufständiger Backsteinbau im Reformstil unter steilem Walmdach, nach Süden weit auskragender, von Terrasse mit Pergola umgebener Gartensalon, zugehöriger Reformgarten in Form eines Eichenhains mit Rhododendrenanpflanzungen, Einheit von Innen- und Außenraum","Geschichtlich, Künstlerisch, Städtebaulich","Villa Moll, Garten",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/45645.jpg
39919,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt",Christianstraße,Wasserwerk Neumünster,"Wasserwerk Neumünster; 1899/1900 u. 1920er; Ensemble bestehnd aus Wasserturm, von Fachwerkkonstruktion ummantelter runder Hochbehälter unter flachem Kegeldach mit Lüftungslaterne auf sich verjüngendem zylindrischen Schaft, und ehem. Pumpenhaus, zweigeschossiger Backsteinbau mit Lisenengliederung unter Walmdach, eingeschossiger Maschinenflügel mit Fabrikfenstern","Geschichtlich, Städtebaulich, Technisch","Wasserturm, ehem. Pumpenhaus",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/39919.jpg
39579,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt","Christianstraße 11, Am Alten Kirchhof 4, 6, 8-10, Am Alten Kirchhof, Christianstraße",Anscharkirche,"Anscharkirche; quadratischer, lindengesäumter Kirchhof (alter Friedhof) mit backsteinerner Jugendstilkirche im Nordosten, 1910-1913 von Hans Roß errichtet; an der Westseite außerhalb des Lindenkranzes reihen sich die zweigeschossigen Bauten von Gemeindehaus (1900), Pfarrhaus (1953) sowie Pastorat und Verwaltungsgebäude (1935/36); an der Ostseite der Langhauswand aufgestellte historische Grabmale","Geschichtlich, Künstlerisch, Städtebaulich","Anscharkirche, Alter Friedhof mit historischen Grabmalen (5), Lindenalleenkranz (Christianstraße, Am Alten Kirchhof) (Christianstraße 11); Gemeindehaus der Anschargemeinde (Am Alten Kichhof 4), Pfarrhaus der Anschargemeinde (Am Alten Kirchof 6), Pastorat und Verwaltungsgebäude (Am Alten Kirchof 8-10)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/39579.jpg
41798,Sachgesamtheit,Stadt Neumünster,"Neumünster, Stadt",Gartenstraße 10,ehem. Papierfabrik,"ehem. Papierfabrik; 1850; 1872; 1911; langgestreckter drei- und viergeschossiger Backsteinfabriktrakt mit gleichmäßig gereihten Segmentbogenfenstern und südwestlichem Kesselhaus; ehem. Kutscherhaus vor dem südwestlichen Gebäudeende, eingeschossiger Putzbau unter ausgebautem Krüppelwalmdach mit Fachwerkkniestock; entlang der südöstlichen Grundstücksgrenze schmiedeeiserne Einfriedung","Geschichtlich, Städtebaulich, Technisch","ehem. Wahlesche Fabrik mit Einfriedung, ehem. Kutscherhaus",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/41798.jpg
