vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,5,5,6,6,6,5
0,gpt-4o,9,8,6,5,6,7
0,google/gemini-3-flash-preview,10,10,10,8,8,8
0,x-ai/grok-4.1-fast,10,9,7,9,9,9
0,anthropic/claude-sonnet-4.5,7,6,5,4,5,6
1,gpt-5,8,8,7,7,7,6
1,gpt-4o,9,8,7,8,7,8
1,google/gemini-3-flash-preview,10,10,10,10,8,7
1,x-ai/grok-4.1-fast,9,9,10,10,9,8
1,anthropic/claude-sonnet-4.5,8,7,8,9,7,6
2,gpt-5,7,7,7,8,7,6
2,gpt-4o,9,8,7,6,8,7
2,google/gemini-3-flash-preview,10,10,10,10,9,9
2,x-ai/grok-4.1-fast,4,10,9,10,5,6
2,anthropic/claude-sonnet-4.5,9,9,10,10,9,8
