vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,4,3,3,9,6,7
0,gpt-4o,8,7,6,9,8,9
0,google/gemini-3-flash-preview,10,10,10,9,9,9
0,x-ai/grok-4.1-fast,10,5,4,10,9,8
0,anthropic/claude-sonnet-4.5,8,7,6,9,8,7
1,gpt-5,6,3,3,7,4,5
1,gpt-4o,9,6,5,7,6,8
1,google/gemini-3-flash-preview,10,10,10,10,10,9
1,x-ai/grok-4.1-fast,4,5,7,10,9,9
1,anthropic/claude-sonnet-4.5,4,3,3,7,5,6
2,gpt-5,7,3,3,8,5,7
2,gpt-4o,8,7,6,9,8,9
2,google/gemini-3-flash-preview,10,10,10,10,10,10
2,x-ai/grok-4.1-fast,7,6,8,10,9,9
2,anthropic/claude-sonnet-4.5,8,7,8,9,8,7
