vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,5,5,6,7,6,6
0,gpt-4o,9,8,7,8,9,8
0,google/gemini-3-flash-preview,8,9,7,7,9,8
0,x-ai/grok-4.1-fast,10,7,8,10,9,9
0,anthropic/claude-sonnet-4.5,9,7,8,9,8,8
1,gpt-5,7,5,5,6,6,7
1,gpt-4o,8,7,6,7,8,7
1,google/gemini-3-flash-preview,9,10,8,10,10,9
1,x-ai/grok-4.1-fast,3,4,5,6,7,8
1,anthropic/claude-sonnet-4.5,9,7,6,7,8,8
2,gpt-5,6,5,6,8,6,6
2,gpt-4o,8,7,6,5,7,6
2,google/gemini-3-flash-preview,9,6,10,10,7,6
2,x-ai/grok-4.1-fast,3,7,10,10,9,7
2,anthropic/claude-sonnet-4.5,9,7,9,10,8,7
