vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,openai/gpt-5,4,3,4,7,5,6
0,openai/gpt-4o,5,6,5,7,4,6
0,google/gemini-3-flash-preview,10,9,10,10,9,8
0,x-ai/grok-4.1-fast,3,5,4,10,8,8
0,anthropic/claude-sonnet-4.5,7,6,5,8,6,7
1,openai/gpt-5,5,3,3,3,4,5
1,openai/gpt-4o,7,6,5,6,5,7
1,google/gemini-3-flash-preview,10,10,8,10,9,9
1,x-ai/grok-4.1-fast,7,6,6,5,7,8
1,anthropic/claude-sonnet-4.5,7,6,5,5,4,6
2,openai/gpt-5,5,3,3,8,6,7
2,openai/gpt-4o,9,8,7,9,8,9
2,google/gemini-3-flash-preview,10,10,10,10,10,9
2,x-ai/grok-4.1-fast,9,7,8,10,10,9
2,anthropic/claude-sonnet-4.5,9,8,9,10,8,7
