vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,5,6,6,6,6,6
0,gpt-4o,9,8,7,8,7,8
0,google/gemini-3-flash-preview,4,7,8,8,9,9
0,x-ai/grok-4.1-fast,10,7,7,10,7,8
0,anthropic/claude-sonnet-4.5,3,5,4,6,5,6
1,gpt-5,4,4,6,6,5,6
1,gpt-4o,9,8,7,9,8,8
1,google/gemini-3-flash-preview,7,10,9,10,9,8
1,x-ai/grok-4.1-fast,3,5,6,9,7,8
1,anthropic/claude-sonnet-4.5,3,6,5,7,6,7
2,gpt-5,7,5,6,8,6,6
2,gpt-4o,9,7,6,8,7,8
2,google/gemini-3-flash-preview,2,7,6,9,8,5
2,x-ai/grok-4.1-fast,9,6,10,10,9,8
2,anthropic/claude-sonnet-4.5,1,7,6,8,7,6
