vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,3,4,5,4,4,6
0,gpt-4o,8,7,6,7,6,7
0,google/gemini-3-flash-preview,8,7,7,5,4,8
0,x-ai/grok-4.1-fast,1,9,10,10,9,9
0,anthropic/claude-sonnet-4.5,1,7,3,6,5,6
1,gpt-5,7,4,6,8,6,7
1,gpt-4o,8,7,6,5,7,6
1,google/gemini-3-flash-preview,9,10,10,10,10,9
1,x-ai/grok-4.1-fast,8,7,9,10,10,9
1,anthropic/claude-sonnet-4.5,3,8,4,9,7,6
2,gpt-5,7,5,4,5,3,5
2,gpt-4o,8,7,5,6,5,7
2,google/gemini-3-flash-preview,5,9,5,6,7,8
2,x-ai/grok-4.1-fast,9,7,6,7,4,8
2,anthropic/claude-sonnet-4.5,3,6,4,5,5,6
