Zeitreihe für Nindorf
""
Geborenen- (+) bzw. Gestorbenenüberschuss (-) in Nindorf
""
"";Geborenen- (+) bzw. Gestorbenenüberschuss (-)
Zeit;Anzahl;je 1 000 Einw. 2)
2000;5 ;4,3 
2001;-1 ;-0,9 
2002;- ;- 
2003;-4 ;-3,5 
2004;-4 ;-3,4 
2005;-9 ;-7,7 
2006;3 ;2,5 
2007;-2 ;-1,7 
2008;1 ;0,8 
2009;5 ;4,1 
2010;-2 ;-1,7 
2011;-2 ;-1,7 
2012;-1 ;-0,9 
2013;5 ;4,3 
2014;- ;- 
2015;-2 ;-1,7 
2016;2 ;1,7 
2017;-1 ;-0,9 
2018;-3 ;-2,7 
2019;4 ;3,5 
2020;-5 ;-4,4 
2021;1 ;0,9 
2022;1 ;... 1) 
2023;-1 ;... 1) 
2024;-2 ;... 1) 
"";""
Anmerkungen zu den Daten
1);Angabe fällt später an.
2);Ermittlung der Bevölkerungszahl (Stichtag am 31.12.) auf Basis der Bevölkerungsfortschreibung
""
Informationen zum Geborenen- (+) bzw. Gestorbenenüberschuss (-)
Der Geborenen- (+) bzw. Gestorbenenüberschuss (-) berechnet sich aus der Anzahl der Lebendgeborenen abzüglich der Anzahl der Gestorbenen.Lebendgeborene sind Kinder, bei denen nach der Scheidung vom Mutterleib entweder das Herz geschlagen oder die Nabelschnur pulsiert oder die natürliche Lungenatmung eingesetzt hat.Als Sterbefälle werden die im Berichtszeitraum Gestorbenen ausgewiesen, ohne Totgeborene, nachträglich beurkundete Kriegssterbefälle und ohne gerichtliche Todeserklärungen.
Aktueller Stand dieser Statistik:  2024.
""
© Statistisches Amt für Hamburg und Schleswig-Holstein 2026
