statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;22886;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;94953;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;23323;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;94981;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;12748;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;52783;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;8386;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;40727;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2014;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;4977;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2014;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09780137;Rettenberg;HERKG1;Herkunft der Gäste;INLAND;Inland;32355;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
