FID,id,kenn,name,geom,start_measure,end_measure,value,unit,validated,nuclide,duration
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-688d,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T10:00:00,2026-01-22T11:00:00,0.121,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-688c,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T11:00:00,2026-01-22T12:00:00,0.12,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-688b,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T12:00:00,2026-01-22T13:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-688a,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T13:00:00,2026-01-22T14:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6889,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T14:00:00,2026-01-22T15:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6888,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T15:00:00,2026-01-22T16:00:00,0.117,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6887,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T16:00:00,2026-01-22T17:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6886,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T17:00:00,2026-01-22T18:00:00,0.12,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6885,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T18:00:00,2026-01-22T19:00:00,0.118,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6884,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T19:00:00,2026-01-22T20:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6883,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T20:00:00,2026-01-22T21:00:00,0.12,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6882,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T21:00:00,2026-01-22T22:00:00,0.122,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6881,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T22:00:00,2026-01-22T23:00:00,0.122,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6880,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-22T23:00:00,2026-01-23T00:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-687f,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T00:00:00,2026-01-23T01:00:00,0.121,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-687e,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T01:00:00,2026-01-23T02:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-687d,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T02:00:00,2026-01-23T03:00:00,0.12,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-687c,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T03:00:00,2026-01-23T04:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-687b,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T04:00:00,2026-01-23T05:00:00,0.122,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-687a,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T05:00:00,2026-01-23T06:00:00,0.121,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6879,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T06:00:00,2026-01-23T07:00:00,0.12,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6878,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T07:00:00,2026-01-23T08:00:00,0.123,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6877,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T08:00:00,2026-01-23T09:00:00,0.121,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6876,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T09:00:00,2026-01-23T10:00:00,0.123,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6875,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T10:00:00,2026-01-23T11:00:00,0.121,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6874,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T11:00:00,2026-01-23T12:00:00,0.118,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6873,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T12:00:00,2026-01-23T13:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6872,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T13:00:00,2026-01-23T14:00:00,0.118,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6871,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T14:00:00,2026-01-23T15:00:00,0.117,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-6870,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T15:00:00,2026-01-23T16:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-686f,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T16:00:00,2026-01-23T17:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-686e,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T17:00:00,2026-01-23T18:00:00,0.117,µSv/h,1,Gamma-ODL-Brutto,1h
odlinfo_timeseries_odl_1h.fid-50d7254d_19c093e3b55_-686d,DEZ1715,095741381,Lauf an der Pegnitz,POINT (49.52 11.27),2026-01-23T18:00:00,2026-01-23T19:00:00,0.119,µSv/h,1,Gamma-ODL-Brutto,1h
