vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,openai/gpt-5,7,4,5,5,4,6
0,openai/gpt-4o,9,8,7,6,7,8
0,google/gemini-3-flash-preview,4,9,7,10,5,6
0,x-ai/grok-4.1-fast,4,7,6,10,5,7
0,anthropic/claude-sonnet-4.5,6,8,7,7,6,7
1,openai/gpt-5,6,5,6,7,5,6
1,openai/gpt-4o,9,8,7,8,9,8
1,google/gemini-3-flash-preview,4,9,9,9,7,7
1,x-ai/grok-4.1-fast,6,6,7,9,6,7
1,anthropic/claude-sonnet-4.5,6,8,7,6,5,7
2,openai/gpt-5,5,6,7,8,5,6
2,openai/gpt-4o,9,8,7,8,8,8
2,google/gemini-3-flash-preview,10,10,10,10,6,8
2,x-ai/grok-4.1-fast,10,10,10,10,4,8
2,anthropic/claude-sonnet-4.5,8,9,9,10,9,8
